Day,Time,HungryTime,id,Category,With_whom,Enjoyment,Diet,Processing,Mess,Comment
03.02.23,07:30:00,00:00:00,0,breakfast,boyfriend,6,vegan,selfmade,2,
03.02.23,12:15:00,04:45:00,1,lunch,alone,8,vegan,selfmade,4,
03.02.23,12:25:00,00:10:00,2,snack,alone,7,vegetarian,Ready-made,1,
03.02.23,16:35:00,04:10:00,3,snack,boyfriend,7,vegan,selfmade_other,1,
03.02.23,18:05:00,01:30:00,4,snack,boyfriend,7,vegan,selfmade,1,
03.02.23,22:26:00,04:21:00,5,dinner,friends,8,vegetarian,restaurant,1,
04.02.32,09:49:00,11:23:00,6,breakfast,boyfriend,7,vegan,selfmade,1,
04.02.32,13:22:00,03:33:00,7,lunch,boyfriend,7,vegan,leftovers,1,
04.02.32,16:05:00,02:43:00,8,snack,boyfriend,8,vegetarian,Ready-made,1,
04.02.32,18:12:00,02:07:00,9,dinner,boyfriend,8,vegetarian,restaurant,1,
05.02.23,00:09:00,05:57:00,10,snack,boyfriend,7,vegan,Ready-made,1,
05.02.23,10:37:00,10:28:00,11,breakfast,boyfriend,8,vegetarian,selfmade,2,"sunday mornings breakfasts are one of the most favorite meals of my boyfriend and me. We always listen to the same radio show while eating and enjoy fresh rolls, veggies, coffee and so on...This morning was especially good because I went swimming before breakfast and was very awake and very hungry already."
05.02.23,13:30:00,02:53:00,12,snack,alone,7,vegan,leftovers,1,snacked the leftovers of our delicious menu at an indian restaurant the evening before. I hate skipping lunch on weekends and switching from late breakfast to early coffee and cake...that always makes me craving for something filling and salty. So the rice saved my sunday :)
05.02.23,15:15:00,01:45:00,13,snack,family,10,vegetarian,selfmade_other,1,
05.02.23,20:10:00,04:55:00,14,dinner,boyfriend,8,vegan,selfmade,2,strange but delicious burgers...vegan „Schnitzel“ with bread and some veggies
06.02.23,07:45:00,11:35:00,15,breakfast,boyfriend,7,vegetarian,selfmade,1,
06.02.23,13:50:00,06:05:00,16,lunch,colleagues,3,vegetarian,processing,1,"not filling, in a rush, not selfmade….did not like this lunch"
06.02.23,16:30:00,02:40:00,17,snack,alone,6,vegan,selfmade_other,1,"ate the last „Eiseröllchen“, made by my boyfriend. He was not amused but it helped me to survive the afternoon at work after the very small lunchbreak"
06.02.23,18:28:00,01:58:00,18,dinner,boyfriend,7,vegan,selfmade,3,
07.02.23,07:40:00,13:12:00,19,breakfast,boyfriend,6,vegan,selfmade,1,
07.02.23,12:41:00,05:01:00,20,lunch,alone,9,vegan,selfmade,3,
07.02.23,18:37:00,05:56:00,21,dinner,boyfriend,8,vegan,selfmade,2,
08.02.23,07:35:00,12:58:00,22,breakfast,boyfriend,7,vegan,selfmade,1,
08.02.23,10:10:00,02:35:00,23,snack,alone,8,vegan,Ready-made,1,
08.02.23,12:25:00,02:15:00,24,lunch,alone,8,vegan,selfmade,1,
08.02.23,16:55:00,04:30:00,25,snack,alone,8,vegetarian,Ready-made,1,
08.02.23,17:35:00,00:40:00,26,dinner,boyfriend,7,vegan,selfmade,1,
08.02.23,20:25:00,02:50:00,27,snack,alone,7,vegetarian,Ready-made,1,
09.02.23,07:35:00,11:10:00,28,breakfast,friends,8,vegan,selfmade,1,
09.02.23,12:44:00,05:09:00,29,lunch,friends,9,vegan,restaurant,1,
09.02.23,17:25:00,04:41:00,30,snack,boyfriend,8,vegan,Ready-made,1,
09.02.23,19:36:00,02:11:00,31,dinner,boyfriend,10,vegan,selfmade,2,
09.02.23,21:04:00,01:28:00,32,snack,friends,10,vegan,Ready-made,1,
10.02.23,07:47:00,10:43:00,33,breakfast,boyfriend,7,vegan,selfmade,1,
10.02.23,12:33:00,04:46:00,34,lunch,alone,8,vegan,selfmade,1,
10.02.23,16:09:00,03:36:00,35,snack,alone,7,vegan,Ready-made,1,
10.02.23,20:30:00,04:21:00,36,dinner,family,10,vegetarian,delivered,1,"would rate it with 11. I was looking forward to eat this burrito so much and it was so, so delicious"
10.02.23,21:24:00,00:54:00,37,snack,family,8,vegan,Ready-made,1,
11.02.23,09:22:00,11:58:00,38,snack,alone,9,vegan,Ready-made,1,
11.02.23,10:38:00,01:16:00,39,breakfast,family,10,vegan,selfmade,3,
11.02.23,15:35:00,04:57:00,40,lunch,friends,10,vegan,restaurant,1,
11.02.23,20:06:00,04:31:00,41,dinner,friends,10,vegetarian,selfmade,1,
12.02.23,09:41:00,13:35:00,42,breakfast,boyfriend,10,vegan,selfmade,2,
12.02.23,14:07:00,04:26:00,43,lunch,boyfriend,10,vegetarian,selfmade,1,
12.02.23,19:04:00,04:57:00,44,dinner,friends,10,vegan,restaurant,1,
13.02.23,07:54:00,12:50:00,45,breakfast,boyfriend,7,vegan,selfmade,1,
13.02.23,10:38:00,02:44:00,46,snack,alone,8,vegan,Ready-made,1,
13.02.23,12:41:00,02:03:00,47,lunch,alone,9,vegetarian,selfmade,1,
13.02.23,17:35:00,04:54:00,48,snack,alone,7,vegetarian,Ready-made,1,
13.02.23,19:24:00,01:49:00,49,dinner,boyfriend,8,vegan,selfmade,1,
14.02.23,07:40:00,12:16:00,50,breakfast,boyfriend,7,vegan,selfmade,1,
14.02.23,13:45:00,06:05:00,51,lunch,alone,10,vegan,selfmade,4,
14.02.23,16:02:00,02:17:00,52,snack,friends,7,vegetarian,Ready-made,1,
14.02.23,19:32:00,03:30:00,53,dinner,boyfriend,8,vegan,selfmade,2,
15.02.23,07:07:00,11:35:00,54,breakfast,boyfriend,8,vegan,selfmade,1,
15.02.23,11:34:00,04:27:00,55,snack,alone,8,vegan,Ready-made,1,
15.02.23,12:50:00,01:16:00,56,lunch,alone,10,vegan,selfmade,1,
15.02.23,18:18:00,05:28:00,57,snack,alone,9,vegetarian,selfmade_other,1,
15.02.23,20:53:00,02:35:00,58,dinner,alone,7,vegan,selfmade,1,
15.02.23,21:06:00,00:13:00,59,snack,alone,8,vegan,Ready-made,1,
16.02.23,07:52:00,10:46:00,60,breakfast,boyfriend,7,vegan,selfmade,1,
16.02.23,12:38:00,04:46:00,61,snack,alone,9,vegetarian,Ready-made,1,
16.02.23,12:57:00,00:19:00,62,lunch,boyfriend,10,vegan,restaurant,1,
16.02.23,18:23:00,05:26:00,63,dinner,boyfriend,9,vegan,selfmade,3,
16.02.23,18:46:00,00:23:00,64,snack,boyfriend,10,vegetarian,Ready-made,1,
17.02.23,07:52:00,13:06:00,65,breakfast,boyfriend,8,vegan,selfmade,1,
17.02.23,10:12:00,02:20:00,66,snack,alone,7,vegan,Ready-made,1,
17.02.23,12:32:00,02:20:00,67,lunch,alone,10,vegan,selfmade,1,
17.02.23,15:37:00,03:05:00,68,snack,alone,7,vegan,Ready-made,1,
17.02.23,17:36:00,01:59:00,69,snack,alone,7,vegetarian,restaurant,1,joined the class from my coworking space today and runned to the market hall that is directly under the coworking area...15mins break were just enough for getting this small snack
17.02.23,19:29:00,01:53:00,70,dinner,alone,8,vegan,selfmade,1,
17.02.23,22:25:00,02:56:00,71,snack,alone,6,vegetarian,Ready-made,1,
18.02.23,10:12:00,11:47:00,72,breakfast,boyfriend,7,vegan,selfmade,1,
18.02.23,14:36:00,04:24:00,73,lunch,boyfriend,8,vegan,selfmade,1,
18.02.23,14:51:00,00:15:00,74,snack,boyfriend,8,vegan,Ready-made,1,
18.02.23,17:37:00,02:46:00,75,snack,alone,7,vegan,Ready-made,1,
18.02.23,19:51:00,02:14:00,76,dinner,friends,10,vegan,selfmade,3,"I love cooking without recipes and just trying to mix ingredients. This one turned out delicious: Red cabbage, white cabbage, noodles, vegan duck"
18.02.23,20:35:00,00:44:00,77,snack,friends,9,vegan,Ready-made,1,
19.02.23,10:54:00,14:19:00,78,breakfast,boyfriend,10,vegan,selfmade,1,
19.02.23,14:53:00,03:59:00,79,snack,boyfriend,7,vegan,Ready-made,1,
19.02.23,16:36:00,01:43:00,80,snack,boyfriend,10,vegan,restaurant,1,
19.02.23,16:48:00,00:12:00,81,lunch,boyfriend,9,vegan,restaurant,1,
19.02.23,21:01:00,04:13:00,82,snack,boyfriend,7,vegetarian,selfmade,1,
20.02.23,07:39:00,10:38:00,83,breakfast,boyfriend,7,vegan,selfmade,1,
20.02.23,12:53:00,05:14:00,84,lunch,alone,9,vegan,selfmade,1,
20.02.23,16:04:00,03:11:00,85,snack,boyfriend,10,vegetarian,Ready-made,1,
20.02.23,18:01:00,01:57:00,86,dinner,boyfriend,8,vegan,selfmade,1,
21.02.23,07:48:00,13:47:00,87,breakfast,boyfriend,7,vegan,selfmade,1,
21.02.23,12:41:00,04:53:00,88,lunch,alone,7,vegan,selfmade,1,
21.02.23,16:04:00,03:23:00,89,snack,alone,9,vegan,Ready-made,1,
21.02.23,18:37:00,02:33:00,90,dinner,boyfriend,9,vegan,Ready-made,1,
22.02.23,07:45:00,13:08:00,91,breakfast,boyfriend,7,vegan,selfmade,1,
22.02.23,13:34:00,05:49:00,92,lunch,alone,10,vegan,selfmade,2,
22.02.23,17:36:00,04:02:00,93,dinner,alone,7,vegan,selfmade,1,
22.02.23,21:57:00,04:21:00,94,snack,alone,8,vegan,Ready-made,1,
23.02.23,08:06:00,10:09:00,95,breakfast,boyfriend,7,vegan,selfmade,1,
23.02.23,12:09:00,04:03:00,96,lunch,alone,9,vegan,selfmade,1,
23.02.23,17:42:00,05:33:00,97,snack,boyfriend,7,vegetarian,Ready-made,1,
23.02.23,19:25:00,01:43:00,98,dinner,boyfriend,8,vegan,selfmade,1,
24.02.23,08:05:00,12:40:00,99,breakfast,boyfriend,8,vegan,selfmade,1,
24.02.23,11:07:00,03:02:00,100,snack,alone,8,vegan,selfmade,1,
24.02.23,13:26:00,02:19:00,101,lunch,alone,9,vegetarian,restaurant,1,
24.02.23,17:36:00,04:10:00,102,snack,family,10,vegetarian,selfmade_other,1,
24.02.23,20:40:00,03:04:00,103,dinner,friends,10,vegetarian,restaurant,1,
25.02.23,09:36:00,12:56:00,104,breakfast,family,8,vegetarian,selfmade,1,
25.02.23,13:42:00,04:06:00,105,lunch,family,8,vegetarian,delivered,1,
25.02.23,19:44:00,06:02:00,106,dinner,boyfriend,8,vegan,selfmade,1,
26.02.23,09:37:00,13:53:00,107,breakfast,boyfriend,10,vegan,selfmade,1,
26.02.23,14:41:00,05:04:00,108,snack,alone,8,vegan,processed,1,
26.02.23,16:51:00,02:10:00,109,snack,boyfriend,10,vegan,selfmade,3,
26.02.23,18:32:00,01:41:00,110,dinner,boyfriend,9,vegetarian,delivered,1,
27.02.23,08:15:00,13:43:00,111,breakfast,boyfriend,8,vegan,selfmade,1,
27.02.23,12:54:00,04:39:00,112,lunch,alone,9,vegan,selfmade,1,
27.02.23,13:46:00,00:52:00,113,snack,alone,9,vegan,selfmade,1,
27.02.23,18:50:00,05:04:00,114,dinner,boyfriend,8,vegan,selfmade,1,
28.02.23,07:50:00,13:00:00,115,breakfast,boyfriend,7,vegan,selfmade,1,
28.02.23,10:59:00,03:09:00,116,snack,alone,7,vegan,processed,1,
28.02.23,13:13:00,02:14:00,117,lunch,alone,8,vegan,selfmade,1,
28.02.23,17:52:00,04:39:00,118,snack,alone,8,vegan,processed,1,
28.02.23,19:36:00,01:44:00,119,dinner,boyfriend,8,vegan,selfmade,1,
28.02.23,20:06:00,00:30:00,120,snack,boyfriend,10,vegan,selfmade,1,this was super-selfmade because we even grew the mushrooms on our own. These two were the first that we ate of the home growns.
01.03.23,07:32:00,11:26:00,121,breakfast,boyfriend,7,vegan,selfmade,1,
01.03.23,13:44:00,06:12:00,122,lunch,alone,10,vegan,selfmade,2,
01.03.23,17:35:00,03:51:00,123,snack,alone,10,vegetarian,selfmade,1,
01.03.23,21:21:00,03:46:00,124,dinner,alone,8,vegan,selfmade,1,
02.03.23,08:02:00,10:41:00,125,breakfast,boyfriend,8,vegan,selfmade,1,
02.03.23,12:36:00,04:34:00,126,lunch,boyfriend,9,vegetarian,restaurant,1,
02.03.23,17:28:00,04:52:00,127,snack,alone,9,vegan,processed,1,
02.03.23,19:31:00,02:03:00,128,dinner,boyfriend,9,vegan,selfmade,,
03.03.23,08:49:00,13:18:00,129,breakfast,boyfriend,8,vegan,selfmade,,
03.03.23,12:35:00,03:46:00,130,lunch,boyfriend,9,vegan,restaurant,,
03.03.23,15:55:00,03:20:00,131,snack,alone,10,vegetarian,restaurant,,
03.03.23,17:47:00,01:52:00,132,snack,alone,9,vegan,processed,,
03.03.23,20:04:00,02:17:00,133,dinner,alone,10,vegan,selfmade,,
04.03.23,08:44:00,12:40:00,134,breakfast,boyfriend,8,vegan,selfmade,,
04.03.23,12:14:00,03:30:00,135,snack,friends,9,vegan,processed,,
04.03.23,14:26:00,02:12:00,136,lunch,boyfriend,10,vegetarian,restaurant,,
04.03.23,15:28:00,01:02:00,137,snack,family,9,vegetarian,processed,,
04.03.23,18:59:00,03:31:00,138,dinner,family,9,vegetarian,selfmade_other,,
04.03.23,20:20:00,01:21:00,139,snack,family,9,vegetarian,processed,,
05.03.23,09:11:00,12:51:00,140,breakfast,family,9,vegan,selfmade,,
05.03.23,13:34:00,04:23:00,141,snack,family,10,vegetarian,processed,,
05.03.23,16:13:00,02:39:00,142,snack,boyfriend,10,vegan,restaurant,,
05.03.23,16:24:00,00:11:00,143,lunch,boyfriend,10,vegan,restaurant,,
06.03.23,07:49:00,15:25:00,144,breakfast,boyfriend,8,vegan,selfmade,,
06.03.23,11:01:00,03:12:00,145,snack,alone,10,vegetarian,selfmade,,
06.03.23,13:53:00,02:52:00,146,lunch,colleagues,10,vegetarian,restaurant,,
06.03.23,18:45:00,04:52:00,147,dinner,colleagues,10,vegetarian,restaurant,,
06.03.23,06:59:00,12:14:00,148,snack,alone,8,vegan,processed,,
07.03.23,08:12:00,01:13:00,149,breakfast,colleagues,10,vegetarian,restaurant,,
07.03.23,10:45:00,02:33:00,150,snack,colleagues,4,vegetarian,processed,,
07.03.23,13:04:00,02:19:00,151,lunch,colleagues,10,vegetarian,restaurant,,
07.03.23,20:59:00,07:55:00,152,dinner,colleagues,10,vegan,restaurant,,
08.03.23,07:49:00,10:50:00,153,breakfast,colleagues,7,vegan,selfmade,,
08.03.23,13:15:00,05:26:00,154,lunch,colleagues,10,vegetarian,restaurant,,
08.03.23,18:12:00,04:57:00,155,dinner,colleagues,10,vegetarian,restaurant,,
08.03.23,22:28:00,04:16:00,156,snack,alone,7,vegetarian,processed,,
09.03.23,09:16:00,10:48:00,157,breakfast,alone,9,vegetarian,restaurant,,
09.03.23,14:05:00,04:49:00,158,lunch,boyfriend,9,vegetarian,delivered,,
09.03.23,18:20:00,04:15:00,159,snack,alone,6,vegetarian,processed,,
09.03.23,19:46:00,01:26:00,160,dinner,boyfriend,8,vegetarian,selfmade,,
10.03.23,09:39:00,13:53:00,161,breakfast,boyfriend,8,vegan,selfmade,,
10.03.23,13:55:00,04:16:00,162,lunch,boyfriend,8,vegetarian,delivered,,
10.03.23,17:37:00,03:42:00,163,snack,boyfriend,9,vegan,processed,,
10.03.23,19:34:00,01:57:00,164,dinner,boyfriend,9,vegan,selfmade,,
11.03.23,07:31:00,11:57:00,165,breakfast,alone,8,vegan,selfmade,,
11.03.23,09:55:00,02:24:00,166,snack,alone,8,vegetarian,restaurant,,
11.03.23,13:13:00,03:18:00,167,lunch,alone,8,vegan,selfmade,,
11.03.23,15:31:00,02:18:00,168,snack,alone,8,vegan,processed,,
11.03.23,16:52:00,01:21:00,169,snack,alone,8,vegetarian,restaurant,,
11.03.23,20:11:00,03:19:00,170,dinner,alone,9,vegan,selfmade,,
11.03.23,21:02:00,00:51:00,171,snack,alone,8,vegetarian,processed,,
12.03.23,09:43:00,12:41:00,172,breakfast,alone,8,vegetarian,selfmade,,
12.03.23,13:25:00,03:42:00,173,snack,alone,8,vegan,processed,,
12.03.23,14:52:00,01:27:00,174,lunch,alone,8,vegetarian,restaurant,,
12.03.23,16:31:00,01:39:00,175,snack,alone,10,vegetarian,restaurant,,
12.03.23,19:51:00,03:20:00,176,dinner,boyfriend,9,vegan,selfmade,,
13.03.23,09:31:00,13:40:00,177,breakfast,boyfriend,8,vegetarian,selfmade,,
13.03.23,13:09:00,03:38:00,178,lunch,boyfriend,9,vegan,restaurant,,
13.03.23,16:18:00,03:09:00,179,snack,boyfriend,10,vegetarian,restaurant,,
13.03.23,19:20:00,03:02:00,180,dinner,boyfriend,9,vegetarian,selfmade,,
13.03.23,20:18:00,00:58:00,181,snack,boyfriend,9,vegetarian,processed,,
14.03.23,09:49:00,13:31:00,182,breakfast,boyfriend,8,vegetarian,selfmade,,
14.03.23,13:44:00,03:55:00,183,lunch,boyfriend,10,vegetarian,restaurant,,
14.03.23,14:28:00,00:44:00,184,snack,boyfriend,10,vegetarian,restaurant,,
14.03.23,16:47:00,02:19:00,185,snack,boyfriend,9,vegetarian,selfmade,,
14.03.23,18:20:00,01:33:00,186,dinner,boyfriend,9,vegetarian,restaurant,,
15.03.23,08:55:00,14:35:00,187,breakfast,boyfriend,8,vegetarian,restaurant,,
15.03.23,13:26:00,04:31:00,188,snack,boyfriend,8,vegan,processed,,
15.03.23,14:22:00,00:56:00,189,lunch,boyfriend,9,vegetarian,restaurant,,
15.03.23,15:46:00,01:24:00,190,snack,boyfriend,8,vegan,processed,,
15.03.23,22:02:00,06:16:00,191,dinner,alone,8,vegan,selfmade,,
16.03.23,07:59:00,09:57:00,192,breakfast,boyfriend,7,vegan,selfmade,,
16.03.23,14:45:00,06:46:00,193,lunch,colleagues,7,vegetarian,restaurant,,
16.03.23,18:11:00,03:26:00,194,dinner,boyfriend,8,vegan,selfmade,,
16.03.23,21:08:00,02:57:00,195,snack,friends,9,vegan,processed,,
17.03.23,07:45:00,10:37:00,196,breakfast,boyfriend,8,vegan,selfmade,,
17.03.23,12:50:00,05:05:00,197,lunch,colleagues,9,vegetarian,restaurant,,
17.03.23,17:28:00,04:38:00,198,snack,alone,8,vegan,processed,,
17.03.23,18:54:00,01:26:00,199,dinner,boyfriend,8,vegan,selfmade,,
17.03.23,23:17:00,04:23:00,200,snack,boyfriend,8,vegan,processed,,
18.03.23,09:29:00,10:12:00,201,breakfast,boyfriend,8,vegan,selfmade,,
18.03.23,12:09:00,02:40:00,202,snack,family,7,vegan,processed,,
18.03.23,14:11:00,02:02:00,203,lunch,family,7,vegetarian,restaurant,,
18.03.23,16:02:00,01:51:00,204,snack,family,8,vegetarian,processed,,
18.03.23,18:52:00,02:50:00,205,dinner,family,9,vegetarian,selfmade_other,,
19.03.23,08:57:00,14:05:00,206,breakfast,family,8,vegetarian,selfmade,,
19.03.23,12:37:00,03:40:00,207,lunch,family,8,vegetarian,selfmade,,
19.03.23,14:37:00,02:00:00,208,snack,family,8,vegan,selfmade_other,,
19.03.23,19:20:00,04:43:00,209,dinner,boyfriend,9,vegan,delivered,,
20.03.23,07:57:00,04:40:00,210,breakfast,boyfriend,7,vegan,selfmade,,
20.03.23,13:05:00,05:08:00,211,lunch,alone,7,vegetarian,selfmade,,
20.03.23,13:14:00,00:09:00,212,snack,alone,8,vegetarian,selfmade,,
20.03.23,17:35:00,04:21:00,213,snack,friends,8,vegan,processed,,
20.03.23,20:07:00,02:32:00,214,dinner,friends,8,vegetarian,restaurant,,
21.03.23,07:43:00,11:36:00,215,breakfast,boyfriend,8,vegan,selfmade,,
21.03.23,12:37:00,04:54:00,216,lunch,colleagues,9,vegan,restaurant,,
21.03.23,15:44:00,03:07:00,217,snack,alone,7,vegetarian,selfmade,,
21.03.23,19:58:00,04:14:00,218,dinner,boyfriend,8,vegetarian,selfmade,,
22.03.23,06:25:00,10:27:00,219,snack,alone,8,vegan,processed,,
22.03.23,08:02:00,01:37:00,220,breakfast,boyfriend,8,vegetarian,selfmade,,
22.03.23,13:01:00,04:59:00,221,lunch,colleagues,9,vegetarian,restaurant,,
22.03.23,16:50:00,03:49:00,222,snack,alone,7,vegan,processed,,
22.03.23,18:59:00,02:09:00,223,snack,alone,8,vegan,processed,,
22.03.23,21:53:00,02:54:00,224,dinner,alone,8,vegan,selfmade,,
23.03.23,07:54:00,10:01:00,225,breakfast,boyfriend,7,vegan,selfmade,,
23.03.23,12:19:00,04:25:00,226,lunch,colleagues,9,vegan,selfmade,,
23.03.23,15:59:00,03:40:00,227,snack,alone,8,vegan,processed,,
23.03.23,17:16:00,01:17:00,228,snack,colleagues,7,vegetarian,processed,,
23.03.23,18:39:00,01:23:00,229,dinner,friends,10,vegan,restaurant,,
24.03.23,06:19:00,11:40:00,230,snack,alone,7,vegan,processed,,
24.03.23,08:31:00,02:12:00,231,breakfast,boyfriend,10,vegan,selfmade,,
24.03.23,11:51:00,03:20:00,232,snack,alone,7,vegetarian,processed,,
24.03.23,13:13:00,01:22:00,233,lunch,colleagues,9,vegan,restaurant,,
24.03.23,16:43:00,03:30:00,234,snack,alone,8,vegan,processed,,
24.03.23,19:08:00,02:25:00,235,dinner,alone,7,vegetarian,selfmade,,
24.03.23,21:08:00,02:00:00,236,snack,friends,8,vegetarian,processed,,
25.03.23,09:20:00,12:12:00,237,breakfast,family,8,vegetarian,selfmade,,
25.03.23,11:30:00,02:10:00,238,breakfast,friends,9,vegetarian,selfmade_other,,
25.03.23,19:29:00,07:59:00,239,dinner,friends,9,vegetarian,restaurant,,
26.03.23,01:51:00,06:22:00,240,snack,alone,7,vegetarian,processed,,
26.03.23,10:30:00,08:39:00,241,breakfast,family,8,vegetarian,selfmade,,
26.03.23,12:58:00,02:28:00,242,snack,friends,8,vegan,processed,,
26.03.23,14:41:00,01:43:00,243,lunch,family,10,vegetarian,delivered,,
26.03.23,19:16:00,04:35:00,244,dinner,boyfriend,8,vegan,selfmade,,
26.03.23,20:18:00,01:02:00,245,snack,boyfriend,8,vegetarian,processed,,
27.03.23,07:47:00,11:29:00,246,breakfast,boyfriend,7,vegan,selfmade,,
27.03.23,10:59:00,03:12:00,247,snack,alone,7,vegan,processed,,
27.03.23,13:36:00,02:37:00,248,lunch,alone,10,vegan,selfmade,,
27.03.23,16:41:00,03:05:00,249,snack,boyfriend,9,vegan,processed,,
27.03.23,18:53:00,02:12:00,250,dinner,boyfriend,8,vegan,selfmade,,
28.03.23,07:51:00,12:58:00,251,breakfast,alone,7,vegan,selfmade,,
28.03.23,13:24:00,05:33:00,252,lunch,colleagues,4,vegetarian,restaurant,,
28.03.23,17:55:00,04:31:00,253,snack,alone,7,vegan,processed,,
28.03.23,19:25:00,01:30:00,254,dinner,friends,10,vegan,restaurant,,
29.03.23,08:24:00,12:59:00,255,breakfast,alone,8,vegetarian,restaurant,,
29.03.23,14:05:00,05:41:00,256,lunch,colleagues,7,vegetarian,restaurant,,
29.03.23,18:26:00,04:21:00,257,dinner,alone,9,vegan,restaurant,,
29.03.23,21:28:00,03:02:00,258,snack,alone,10,vegan,processed,,
30.03.23,08:11:00,10:43:00,259,breakfast,boyfriend,8,vegan,selfmade,,
30.03.23,10:37:00,02:26:00,260,snack,alone,7,vegan,processed,,
30.03.23,12:47:00,02:10:00,261,lunch,colleagues,8,vegan,selfmade,,
30.03.23,15:36:00,02:49:00,262,snack,colleagues,8,vegan,processed,,
30.03.23,17:45:00,02:09:00,263,snack,colleagues,5,vegetarian,processed,,
30.03.23,19:45:00,02:00:00,264,dinner,boyfriend,8,vegan,selfmade,,
31.03.23,07:43:00,11:58:00,265,breakfast,boyfriend,8,vegan,selfmade,,
31.03.23,12:53:00,05:10:00,266,lunch,colleagues,8,vegan,selfmade,,
31.03.23,13:08:00,00:15:00,267,snack,colleagues,7,vegetarian,delivered,,
31.03.23,18:26:00,05:18:00,268,dinner,boyfriend,8,vegan,selfmade,,
31.03.23,21:38:00,03:12:00,269,snack,alone,10,vegan,processed,,
01.04.23,10:42:00,13:04:00,270,breakfast,boyfriend,8,vegan,selfmade,,
01.04.23,14:46:00,04:04:00,271,lunch,boyfriend,7,vegan,selfmade,,
01.04.23,19:50:00,05:04:00,272,dinner,friends,9,vegan,restaurant,,
02.04.23,10:31:00,14:41:00,273,breakfast,boyfriend,9,vegetarian,selfmade,,
02.04.23,14:27:00,03:56:00,274,snack,alone,8,vegan,processed,,
02.04.23,15:08:00,00:41:00,275,snack,friends,9,vegetarian,selfmade,,
02.04.23,18:33:00,03:25:00,276,dinner,boyfriend,10,vegan,delivered,,
03.04.23,08:01:00,13:28:00,277,breakfast,boyfriend,8,vegan,selfmade,,
03.04.23,11:11:00,03:10:00,278,snack,alone,8,vegan,processed,,
03.04.23,14:38:00,03:27:00,279,lunch,alone,9,vegan,selfmade,,
03.04.23,18:38:00,04:00:00,280,dinner,boyfriend,9,vegan,selfmade,,
04.04.23,08:17:00,13:39:00,281,breakfast,boyfriend,7,vegan,selfmade,,
04.04.23,12:37:00,04:20:00,282,lunch,colleagues,9,vegetarian,restaurant,,
04.04.23,16:02:00,03:25:00,283,snack,colleagues,10,vegetarian,restaurant,,
04.04.23,19:19:00,03:17:00,284,dinner,boyfriend,9,vegan,selfmade,,
